epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3875.53,0.87039,0.8483,1.07646,0.5702,0.80971,0.62444,0.44182,1.03172,1.06809,1.24824,0.000481144,0.000481144,0.000481144
69,3931.96,0.8834,0.87857,1.08414,0.56681,0.84832,0.65883,0.46611,1.06555,0.9344,1.26475,0.000466997,0.000466997,0.000466997
70,3988.17,0.86672,0.86948,1.09048,0.56499,0.83868,0.61519,0.42693,1.10437,1.00333,1.30882,0.00045285,0.00045285,0.00045285
71,4044.19,0.87955,0.85554,1.08941,0.58643,0.76748,0.63245,0.44197,1.07217,1.02059,1.27125,0.000438703,0.000438703,0.000438703
72,4100.68,0.85357,0.83997,1.07921,0.57302,0.81283,0.60958,0.43287,1.05251,1.00741,1.25986,0.000424556,0.000424556,0.000424556
73,4157.14,0.85108,0.82035,1.06937,0.57639,0.84126,0.63636,0.43653,1.09821,1.00726,1.28303,0.000410409,0.000410409,0.000410409
74,4213.56,0.82552,0.80239,1.05505,0.54273,0.81271,0.62129,0.43844,1.03595,1.05508,1.23469,0.000396262,0.000396262,0.000396262
75,4269.81,0.83881,0.82245,1.07725,0.59342,0.76927,0.62588,0.43898,1.02935,0.98477,1.24735,0.000382115,0.000382115,0.000382115
76,4326,0.8444,0.83546,1.07841,0.61393,0.78822,0.64412,0.45719,1.05642,0.96469,1.28829,0.000367967,0.000367967,0.000367967
77,4382.3,0.84004,0.83701,1.06554,0.59476,0.83143,0.65106,0.45422,1.07356,0.99095,1.2763,0.00035382,0.00035382,0.00035382
78,4438.23,0.81179,0.83136,1.07343,0.60489,0.80409,0.64297,0.44808,1.07061,1.013,1.27196,0.000339673,0.000339673,0.000339673
79,4494.46,0.82592,0.817,1.05159,0.56533,0.80153,0.63121,0.44086,1.03816,0.99514,1.25707,0.000325526,0.000325526,0.000325526
80,4550.66,0.83218,0.80137,1.06186,0.55065,0.85572,0.60339,0.42835,1.05137,1.05395,1.24949,0.000311379,0.000311379,0.000311379
81,4606.88,0.82853,0.79695,1.06847,0.56458,0.768,0.60407,0.43147,1.05834,1.08881,1.26417,0.000297232,0.000297232,0.000297232
82,4663.06,0.8024,0.80053,1.06135,0.55537,0.8564,0.62049,0.43544,1.05135,0.99531,1.2592,0.000283085,0.000283085,0.000283085
83,4719.66,0.78177,0.77149,1.0447,0.58333,0.82955,0.62352,0.44263,1.02288,0.99932,1.2458,0.000268938,0.000268938,0.000268938
84,4776.07,0.78993,0.75768,1.04943,0.54952,0.82406,0.61082,0.43599,1.0294,1.00897,1.24022,0.000254791,0.000254791,0.000254791
85,4832.39,0.79059,0.76223,1.04502,0.56959,0.82297,0.62138,0.44379,1.03626,1.01393,1.25384,0.000240644,0.000240644,0.000240644
86,4888.9,0.7806,0.75651,1.0442,0.55077,0.82964,0.61396,0.43701,1.04351,1.06256,1.25039,0.000226497,0.000226497,0.000226497
87,4945.15,0.76931,0.77067,1.04092,0.56956,0.74719,0.61546,0.43809,1.05006,1.07286,1.25154,0.000212349,0.000212349,0.000212349
88,5001.44,0.7777,0.76495,1.03762,0.55197,0.84189,0.64358,0.45969,1.05342,1.02486,1.2707,0.000198202,0.000198202,0.000198202
89,5058.4,0.77557,0.75622,1.03931,0.55124,0.87712,0.6314,0.45369,1.03421,1.02698,1.25759,0.000184055,0.000184055,0.000184055
90,5114.64,0.77518,0.75221,1.04232,0.57395,0.81097,0.62592,0.44802,1.04113,1.05069,1.25002,0.000169908,0.000169908,0.000169908
91,5170.38,0.70445,0.66516,0.99953,0.53276,0.84801,0.6167,0.43609,1.02952,1.10718,1.24135,0.000155761,0.000155761,0.000155761
92,5225.85,0.67124,0.6427,0.98898,0.53448,0.78549,0.60087,0.41645,1.04994,1.12973,1.25194,0.000141614,0.000141614,0.000141614
93,5281.38,0.67364,0.63637,0.98774,0.52082,0.78626,0.59757,0.42409,1.0321,1.14361,1.2549,0.000127467,0.000127467,0.000127467
94,5336.8,0.65909,0.6164,0.98216,0.52361,0.85209,0.61882,0.44158,1.03805,1.08663,1.26217,0.00011332,0.00011332,0.00011332
95,5392.37,0.66826,0.6073,0.98624,0.53217,0.796,0.6098,0.43645,1.04134,1.12679,1.24963,9.91726e-05,9.91726e-05,9.91726e-05
96,5447.74,0.65135,0.59727,0.97114,0.53856,0.84686,0.61986,0.43976,1.04087,1.07874,1.24488,8.50255e-05,8.50255e-05,8.50255e-05
97,5503.2,0.65636,0.61262,0.98013,0.52671,0.86459,0.61972,0.43983,1.04266,1.10856,1.24117,7.08784e-05,7.08784e-05,7.08784e-05
98,5558.8,0.64448,0.59376,0.97551,0.53598,0.82697,0.61711,0.44081,1.03402,1.11953,1.23861,5.67313e-05,5.67313e-05,5.67313e-05
99,5614.14,0.65201,0.60661,0.99009,0.55682,0.80391,0.62011,0.44647,1.02673,1.10583,1.23254,4.25842e-05,4.25842e-05,4.25842e-05
100,5669.47,0.65319,0.60115,0.98672,0.5574,0.80228,0.62502,0.45103,1.03155,1.11574,1.237,2.84371e-05,2.84371e-05,2.84371e-05
